"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          1451 Library assistants and clerks",2550,600,775,905,540,370,265 
"          1452 Correspondence, publication and regulatory clerks",5015,1005,1455,1840,975,865,715 
"          1454 Survey interviewers and statistical clerks",3430,565,1080,1250,655,595,535 
"      15 Distribution, tracking and scheduling co-ordination occupations",68550,13790,20355,22500,10830,11670,11910 
"        151 Mail and message distribution occupations",17380,4400,5660,5405,2720,2690,1915 
"          1511 Mail, postal and related workers",7535,2015,2685,2165,1085,1085,670 
"          1512 Letter carriers",3670,1085,1120,1105,655,445,360 
"          1513 Couriers, messengers and door-to-door distributors",6180,1300,1855,2135,980,1155,885 
"        152 Supply chain logistics, tracking and scheduling co-ordination occupations",51175,9390,14695,17095,8110,8985,9995 
"          1521 Shippers and receivers",26720,4870,7775,8715,3955,4760,5370 
"          1522 Storekeepers and partspersons",4325,1050,1115,1375,645,735,785 
"          1523 Production logistics co-ordinators",5545,1005,1450,1965,985,980,1125 
"          1524 Purchasing and inventory control workers",7845,1170,2200,2770,1415,1355,1700 
"          1525 Dispatchers",5440,1095,1805,1715,820,895,825 
"          1526 Transportation route and crew schedulers",1300,200,360,550,285,265,190 
"    2 Natural and applied sciences and related occupations",392365,58185,117190,147160,80875,66280,69830 
"      21 Professional occupations in natural and applied sciences",270265,36990,82770,100970,56410,44565,49535 
"        211 Physical science professionals",11545,1520,3355,4860,2790,2065,1810 
"          2111 Physicists and astronomers",1120,195,320,425,215,205,175 
"          2112 Chemists",7025,810,2150,3060,1825,1240,1000 
"          2113 Geoscientists and oceanographers",2680,395,665,1090,565,520,540 
"          2114 Meteorologists and climatologists",205,45,60,75,55,25,30 
"          2115 Other professional occupations in physical sciences",505,70,160,210,130,80,70 
"        212 Life science professionals",6600,955,1855,2665,1405,1265,1115 
"          2121 Biologists and related scientists",5670,815,1610,2285,1245,1040,955 
"          2122 Forestry professionals",235,55,90,60,15,50,35 
"          2123 Agricultural representatives, consultants and specialists",690,85,160,320,140,180,130 
"        213 Civil, mechanical, electrical and chemical engineers",65925,9485,19875,26580,16195,10385,9990 
"          2131 Civil engineers",19920,2775,5265,8530,5055,3475,3350 
"          2132 Mechanical engineers",20260,2930,6680,7805,4845,2965,2840 
"          2133 Electrical and electronics engineers",20885,3180,6625,8050,4900,3155,3025 
"          2134 Chemical engineers",4860,600,1300,2180,1400,785,770 
"        214 Other engineers",27340,3485,7690,10840,5935,4905,5330 
"          2141 Industrial and manufacturing engineers",6385,835,1765,2665,1400,1270,1125 
"          2142 Metallurgical and materials engineers",925,85,285,365,220,145,190 
"          2143 Mining engineers",935,110,225,335,185,150,270 
"          2144 Geological engineers",805,95,200,340,210,135,175 
"          2145 Petroleum engineers",3080,250,740,1435,735,700,655 
"          2146 Aerospace engineers",2415,445,730,740,465,280,490 
"          2147 Computer engineers (except software engineers and designers)",11100,1465,3300,4245,2345,1900,2085 
"          2148 Other professional engineers, n.e.c.",1690,195,440,710,375,335,340 
"        215 Architects, urban planners and land surveyors",8510,1610,2180,2955,1485,1470,1775 
"          2151 Architects",5490,990,1375,1965,960,1005,1165 
"          2152 Landscape architects",290,65,60,105,35,75,65 
"          2153 Urban and land use planners",1720,370,510,520,275,240,325 
"          2154 Land surveyors",1010,185,240,370,220,150,215 
"        216 Mathematicians, statisticians and actuaries",4040,520,1195,1705,930,775,625 
"          2161 Mathematicians, statisticians and actuaries",4035,520,1190,1700,930,775,625 
"        217 Computer and information systems professionals",146310,19415,46630,51375,27670,23710,28890 
"          2171 Information systems analysts and consultants",64545,10015,20520,22205,11795,10415,11800 
"          2172 Database analysts and data administrators",8515,1280,2590,3105,1760,1345,1545 
"          2173 Software engineers and designers",24680,2415,8330,8290,4545,3750,5640 
"          2174 Computer programmers and interactive media developers",40900,4795,13095,14890,8175,6715,8125 
"          2175 Web designers and developers",7665,905,2090,2885,1390,1490,1790 
"      22 Technical occupations related to natural and applied sciences",122095,21195,34420,46185,24470,21715,20300 
"        221 Technical occupations in physical sciences",9295,1140,2390,4025,2150,1875,1740 
"          2211 Chemical technologists and technicians",7855,940,2075,3370,1825,1540,1470 
"          2212 Geological and mineral technologists and technicians",1445,200,315,660,325,335,270 
"        222 Technical occupations in life sciences",4985,940,1290,1860,915,945,900 
"          2221 Biological technologists and technicians",1610,240,430,655,380,270,285 
"          2222 Agricultural and fish products inspectors",1010,175,285,375,210,165,170 
"          2223 Forestry technologists and technicians",250,40,45,120,40,75,45 
"          2224 Conservation and fishery officers",140,30,30,50,35,15,30 
"          2225 Landscape and horticulture technicians and specialists",1980,450,495,665,250,415,365 
"        223 Technical occupations in civil, mechanical and industrial engineering",19015,3205,5135,7815,4325,3485,2860 
"          2231 Civil engineering technologists and technicians",4070,555,900,2030,1070,965,585 
"          2232 Mechanical engineering technologists and technicians",4785,935,1425,1755,990,765,675 
"          2233 Industrial engineering and manufacturing technologists and technicians",5740,1070,1790,2130,1245,885,755 
"          2234 Construction estimators",4420,645,1025,1905,1025,875,845 
"        224 Technical occupations in electronics and electrical engineering",25705,5395,7705,9185,5045,4140,3415 
"          2241 Electrical and electronics engineering technologists and technicians",10395,2170,3135,3830,2255,1575,1265 
"          2242 Electronic service technicians (household and business equipment)",12710,2690,3910,4285,2150,2135,1820 
"          2243 Industrial instrument technicians and mechanics",1130,275,195,460,280,175,205 
"          2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1470,255,475,605,360,245,130 
"        225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",15130,2290,4010,6035,3300,2735,2795 
"          2251 Architectural technologists and technicians",2720,370,735,1020,515,510,595 
"          2252 Industrial designers",2380,375,655,900,485,410,455 
"          2253 Drafting technologists and technicians",8160,1285,2100,3415,1900,1510,1365 
"          2254 Land survey technologists and technicians",515,70,100,210,135,75,130 
"          2255 Technical occupations in geomatics and meteorology",1350,195,420,490,265,235,240 
"        226 Other technical inspectors and regulatory officers",8585,1700,2265,3330,1610,1715,1295 
"          2261 Non-destructive testers and inspection technicians",1025,180,240,405,225,180,195 
"          2262 Engineering inspectors and regulatory officers",1090,195,295,440,200,240,165 
